timestep	volume	lx	ly	lz	potential_energy	kinetic_energy	temperature	pressure
0	9261	21	21	21	0	0	0	0
100	9261	21	21	21	-6.909594988	388.9737704	0.3785632802	0.02651546511
200	9261	21	21	21	-35.56149541	528.6234079	0.5144753362	0.03581008331
300	9261	21	21	21	-99.41057822	606.2115809	0.5899869401	0.0378505386
400	9261	21	21	21	-130.2522384	609.4905986	0.5931781981	0.03631010569
500	9261	21	21	21	-164.0698279	656.8281419	0.6392487999	0.04163792481
600	9261	21	21	21	-194.6695673	650.6292183	0.6332157843	0.03597592106
700	9261	21	21	21	-201.0199469	642.6029563	0.625404337	0.03538361277
800	9261	21	21	21	-224.8279023	614.2894456	0.5978486088	0.03005138611
900	9261	21	21	21	-237.5282439	628.7186629	0.6118916427	0.03234059658
1000	9261	21	21	21	-248.9759598	624.1915633	0.6074857064	0.03139767663
1100	9261	21	21	21	-255.6578337	604.63622	0.5884537421	0.03424807766
1200	9261	21	21	21	-270.1651658	633.181243	0.6162347863	0.03249986453
1300	9261	21	21	21	-279.1830572	630.3118388	0.6134421788	0.03101112205
1400	9261	21	21	21	-297.2705831	621.6590281	0.605020952	0.02473558153
1500	9261	21	21	21	-296.471574	616.2191307	0.5997266479	0.0290992615
1600	9261	21	21	21	-304.2128871	639.2904474	0.6221804841	0.03578229603
1700	9261	21	21	21	-296.6182257	631.7517815	0.614843583	0.03075896815
1800	9261	21	21	21	-315.7654983	635.6742727	0.6186610926	0.03238731307
1900	9261	21	21	21	-313.5153139	648.2298128	0.6308805964	0.03099664649
2000	9261	21	21	21	-324.0941722	659.2483457	0.6416042294	0.0266735792
2100	9261	21	21	21	-330.5663431	641.6362308	0.624463485	0.03074063958
2200	9261	21	21	21	-344.591386	607.3471185	0.5910920861	0.02534083842
2300	9261	21	21	21	-331.9750191	618.2482768	0.601701486	0.02733930879
2400	9261	21	21	21	-312.6241796	568.4547415	0.5532406243	0.02268924751
2500	9261	21	21	21	-317.9365853	591.4454266	0.575615987	0.02819744894
2600	9261	21	21	21	-319.2883235	610.2710567	0.5939377681	0.03225350857
2700	9261	21	21	21	-328.9399366	609.6760768	0.5933587122	0.02354117341
2800	9261	21	21	21	-336.5316006	628.5551795	0.6117325348	0.03014712951
2900	9261	21	21	21	-344.4060321	634.9571616	0.6179631744	0.02602314475
3000	9261	21	21	21	-341.14378	618.97836	0.6024120292	0.03244608241
3100	9261	21	21	21	-337.6088429	613.246633	0.5968337061	0.02952787998
3200	9261	21	21	21	-330.3979379	610.6406416	0.5942974614	0.02998066011
3300	9261	21	21	21	-336.7757509	617.9526099	0.6014137322	0.02448009848
3400	9261	21	21	21	-344.2734714	626.839395	0.6100626715	0.02851949531
3500	9261	21	21	21	-353.816258	600.6136086	0.5845387918	0.02967786285
3600	9261	21	21	21	-373.8971232	619.607496	0.603024327	0.02785017768
3700	9261	21	21	21	-364.6729757	652.6625637	0.6351947092	0.02031211867
3800	9261	21	21	21	-364.7572684	622.8064741	0.6061376877	0.02655948659
3900	9261	21	21	21	-364.6632885	615.4206432	0.5989495311	0.03188405557
4000	9261	21	21	21	-355.4637997	624.7334202	0.6080130611	0.03150946746
4100	9261	21	21	21	-364.527874	634.977816	0.6179832759	0.02044858244
4200	9261	21	21	21	-350.1294299	603.4461215	0.5872954954	0.02850344726
4300	9261	21	21	21	-375.9426591	616.2851974	0.5997909464	0.02577732489
4400	9261	21	21	21	-369.3344076	607.5849042	0.5913235077	0.02256977647
4500	9261	21	21	21	-359.6176781	636.5753568	0.6195380601	0.03249495505
4600	9261	21	21	21	-365.5862518	604.3546377	0.5881796961	0.02670635732
4700	9261	21	21	21	-386.2493396	587.603737	0.5718771163	0.02570419208
4800	9261	21	21	21	-378.2924125	627.3454643	0.6105551964	0.02643930025
4900	9261	21	21	21	-384.8585479	608.2734214	0.5919935975	0.02414390146
5000	9261	21	21	21	-383.6355195	605.6488403	0.5894392606	0.02636267558
