timestep	volume	lx	ly	lz	potential_energy	kinetic_energy	temperature	pressure
2000	11645.05778	22.66629565	22.66629565	22.66629565	0	2525.784516	0.8423493466	0.1445983675
2100	9007.327344	20.8064817	20.8064817	20.8064817	-1952.643879	2835.428744	0.9456157225	0.1642110421
2200	5240.740619	17.36990948	17.36990948	17.36990948	-2857.086656	4272.894283	1.4250106	0.6326925993
2300	2961.716715	14.36088393	14.36088393	14.36088393	-3931.005115	7263.083761	2.42223904	3.562860003
2400	2432.868196	13.44950169	13.44950169	13.44950169	-4762.228099	7605.358412	2.536387664	5.00632026
2500	3116.46186	14.60676152	14.60676152	14.60676152	-4596.576164	3687.445542	1.229763396	0.5252000431
2600	3936.909	15.79010891	15.79010891	15.79010891	-3977.366599	1885.633622	0.6288589702	-0.2977155599
2700	4026.100832	15.90846277	15.90846277	15.90846277	-4260.561867	1442.070972	0.4809307894	-0.2597756931
2800	3317.640111	14.91453638	14.91453638	14.91453638	-5308.7051	1638.089913	0.5463031224	-0.01862449914
2900	2403.755021	13.39563796	13.39563796	13.39563796	-6644.891174	2421.756458	0.8076559806	1.161073896
3000	1863.28325	12.30532136	12.30532136	12.30532136	-7667.863192	3378.068553	1.126586144	4.219179894
3100	1916.614001	12.42161941	12.42161941	12.42161941	-8051.793325	2360.783336	0.7873214394	1.269672184
3200	2095.831024	12.7973119	12.7973119	12.7973119	-7882.764269	1400.443706	0.4670480926	-0.9759229678
3300	1925.323094	12.4404056	12.4404056	12.4404056	-8568.33947	1338.273667	0.4463143795	-0.2524400037
3400	1635.861165	11.78280836	11.78280836	11.78280836	-9380.924652	1824.447906	0.6084535288	3.887425133
3500	1691.914818	11.9158812	11.9158812	11.9158812	-9706.909077	1412.685034	0.4711305767	0.8920526056
3600	1793.705467	12.15020794	12.15020794	12.15020794	-9657.96078	985.303771	0.3285988898	-1.42579305
3700	1618.975612	11.74212688	11.74212688	11.74212688	-10200.99179	1109.957111	0.370170789	1.569140522
3800	1549.831091	11.57252488	11.57252488	11.57252488	-10440.76639	1127.109073	0.3758909698	2.983578947
3900	1684.826663	11.89921767	11.89921767	11.89921767	-10412.83046	796.7919288	0.2657301747	-1.210820702
4000	1606.225432	11.71122072	11.71122072	11.71122072	-10677.40547	806.8772842	0.2690936416	0.3571212848
4100	1505.081512	11.46005425	11.46005425	11.46005425	-10805.93448	895.833525	0.2987605553	3.513581731
4200	1622.011751	11.74946248	11.74946248	11.74946248	-10803.68548	674.8203021	0.225052627	-0.7590078538
4300	1591.137185	11.6744351	11.6744351	11.6744351	-10934.21068	690.0329911	0.2301260601	0.01251671577
4400	1493.695204	11.4310817	11.4310817	11.4310817	-11037.23107	827.4284258	0.275947449	3.244581468
4500	1594.244558	11.68202992	11.68202992	11.68202992	-10997.70602	659.455699	0.2199285306	-0.452572947
4600	1589.676013	11.67086038	11.67086038	11.67086038	-11004.56553	653.1997879	0.2178421837	-0.1861722968
4700	1497.423552	11.44058468	11.44058468	11.44058468	-11067.17472	811.6486352	0.2706848875	3.032270373
4800	1583.225929	11.65505421	11.65505421	11.65505421	-11008.64261	719.3228167	0.2398942193	-0.07025490155
4900	1599.157676	11.69401812	11.69401812	11.69401812	-10940.24187	729.8265783	0.2433972247	-0.2466071764
5000	1517.46491	11.49139851	11.49139851	11.49139851	-10988.51036	946.5714361	0.3156816529	2.60984268
5100	1589.38862	11.67015703	11.67015703	11.67015703	-10845.83427	885.8519474	0.2954316983	0.3472879486
5200	1629.659271	11.76789913	11.76789913	11.76789913	-10692.33607	930.7618236	0.3104091458	-0.2978290047
5300	1562.065886	11.60289733	11.60289733	11.60289733	-10649.68899	1167.989658	0.3895246482	2.255593838
5400	1618.184916	11.74021498	11.74021498	11.74021498	-10433.07561	1211.890702	0.40416565	0.9406174532
5500	1695.049893	11.9232366	11.9232366	11.9232366	-10125.65128	1275.165093	0.4252676647	-0.07840925571
5600	1670.213215	11.86471485	11.86471485	11.86471485	-9996.150505	1598.037334	0.5329455842	1.2267193
5700	1695.623949	11.92458245	11.92458245	11.92458245	-9727.530918	1871.597947	0.6241780713	1.420274194
5800	1817.794318	12.2043573	12.2043573	12.2043573	-9128.893277	1834.232648	0.6117167412	0.3982092447
